"Vaccine","Geography Type","Geography","Survey Year/Influenza Season","Dimension Type","Dimension","Estimate (%)","95% CI (%)","Sample Size"
"Influenza","States","Colorado","2012","Age",">=18 Years","56.1","52.1 to 60.0","1170"
"Influenza","States","Colorado","2012","Age","18-24 Years","51.3","42.6 to 60.0","276"
"Influenza","States","Colorado","2020","Age","18-24 Years","67.8","59.5 to 75.3","193"
"Influenza","States","Colorado","2020","Age","25-34 Years","74.6","70.5 to 78.4","628"
"Influenza","States","Colorado","2012","Age","25-34 Years","55.2","50.0 to 60.3","680"
"Influenza","States","Colorado","2012","Age",">=35 Years","65.5","56.1 to 74.1","214"
"Influenza","States","Colorado","2020","Age",">=35 Years","82.0","75.6 to 87.3","213"
"Influenza","States","Colorado","2012","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","NR*","NR*","72"
"Influenza","States","Colorado","2012","Race and Ethnicity","White, Non-Hispanic","56.2","51.4 to 60.9","803"
"Influenza","States","Colorado","2020","Race and Ethnicity","White, Non-Hispanic","74.9","71.0 to 78.5","662"
"Influenza","States","Colorado","2020","Race and Ethnicity","Hispanic","73.3","66.8 to 79.2","268"
"Influenza","States","Colorado","2020","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","78.0","64.6 to 88.1","72"
"Influenza","States","Colorado","2012","Race and Ethnicity","Black, Non-Hispanic","NR*","NR*","30"
"Influenza","States","Colorado","2012","Race and Ethnicity","Hispanic","58.2","49.3 to 66.7","259"
"Influenza","States","Colorado","2020","Race and Ethnicity","Black, Non-Hispanic","NR*","NR*",
"Influenza","States","Colorado","2021","Race and Ethnicity","White, Non-Hispanic","70.4","66.8 to 73.8","814"
"Influenza","States","Colorado","2021","Race and Ethnicity","Black, Non-Hispanic","NR*","NR*","31"
"Influenza","States","Colorado","2021","Race and Ethnicity","Hispanic","64.6","57.9 to 70.9","303"
"Influenza","States","Colorado","2021","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","77.7","65.8 to 87.0","81"
"Tdap","States","Colorado","2021","Race and Ethnicity","White, Non-Hispanic","80.3","77.0 to 83.3","788"
"Tdap","States","Colorado","2021","Race and Ethnicity","Black, Non-Hispanic","NR*","NR*",
"Tdap","States","Colorado","2021","Race and Ethnicity","Hispanic","73.9","67.2 to 79.9","272"
"Tdap","States","Colorado","2021","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","74.3","62.0 to 84.3","75"
"Influenza","States","Colorado","2013","Age",">=18 Years","64.7","61.4 to 67.9","1603"
"Influenza","States","Maryland","2013","Age","25-34 Years","55.2","51.0 to 59.3","759"
"Influenza","States","Maryland","2013","Age",">=35 Years","55.3","47.4 to 63.0","234"
"Influenza","States","Maryland","2013","Race and Ethnicity","White, Non-Hispanic","59.7","54.8 to 64.5","552"
"Influenza","States","Maryland","2013","Race and Ethnicity","Black, Non-Hispanic","43.8","37.6 to 50.1","383"
"Influenza","States","Maryland","2013","Race and Ethnicity","Hispanic","54.5","45.7 to 63.1","188"
"Influenza","States","Maryland","2013","Age",">=18 Years","53.4","50.1 to 56.7","1249"
"Influenza","States","Maryland","2013","Age","18-24 Years","46.6","38.9 to 54.4","256"
"Influenza","States","Maryland","2014","Age",">=18 Years","52.5","49.3 to 55.7","1273"
"Influenza","States","Maryland","2014","Age","18-24 Years","40.5","33.3 to 48.0","249"
"Influenza","States","Maryland","2014","Age","25-34 Years","54.9","50.7 to 59.1","739"
"Influenza","States","Maryland","2014","Age",">=35 Years","58.1","51.1 to 64.9","285"
"Influenza","States","Maryland","2014","Race and Ethnicity","White, Non-Hispanic","57.3","52.3 to 62.2","534"
"Influenza","States","Maryland","2014","Race and Ethnicity","Black, Non-Hispanic","41.1","35.3 to 47.0","393"
"Influenza","States","Maryland","2014","Race and Ethnicity","Hispanic","55.6","47.6 to 63.4","207"
"Influenza","States","Maryland","2014","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","61.0","50.8 to 70.5","138"
"Influenza","States","Maryland","2013","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","51.5","40.8 to 62.1","125"
"Influenza","States","Maryland","2019","Age",">=18 Years","66.1","62.3 to 69.8","925"
"Influenza","States","Maryland","2019","Age","18-24 Years","58.6","47.5 to 69.1","137"
"Influenza","States","Maryland","2019","Age","25-34 Years","67.3","62.5 to 71.9","535"
"Influenza","States","Maryland","2019","Age",">=35 Years","68.7","61.3 to 75.4","253"
"Influenza","States","Maryland","2019","Race and Ethnicity","White, Non-Hispanic","69.3","63.7 to 74.5","416"
"Influenza","States","Maryland","2019","Race and Ethnicity","Black, Non-Hispanic","54.2","46.4 to 61.9","248"
"Influenza","States","Maryland","2019","Race and Ethnicity","Hispanic","72.3","63.9 to 79.7","178"
"Influenza","States","Maryland","2019","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","80.4","68.1 to 89.5","82"
"Influenza","States","Maryland","2017","Age",">=18 Years","63.3","59.7 to 66.7","1014"
"Influenza","States","Maryland","2017","Age","18-24 Years","61.1","51.8 to 69.8","157"
"Influenza","States","Maryland","2017","Age","25-34 Years","61.4","56.8 to 65.9","622"
"Influenza","States","Maryland","2017","Age",">=35 Years","71.0","63.7 to 77.6","235"
"Influenza","States","Maryland","2017","Race and Ethnicity","White, Non-Hispanic","68.7","63.4 to 73.7","436"
"Influenza","States","Maryland","2017","Race and Ethnicity","Black, Non-Hispanic","53.1","45.9 to 60.2","274"
"Influenza","States","Maryland","2017","Race and Ethnicity","Hispanic","67.4","59.9 to 74.3","206"
"Influenza","States","Maryland","2017","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","63.7","51.0 to 75.1","96"
"Influenza","States","Maryland","2018","Age",">=18 Years","64.1","60.2 to 67.8","1004"
"Influenza","States","Maryland","2018","Age","18-24 Years","44.3","33.9 to 55.0","134"
"Influenza","States","Maryland","2018","Age","25-34 Years","65.5","60.6 to 70.2","611"
"Influenza","States","Maryland","2018","Age",">=35 Years","75.9","68.5 to 82.3","259"
"Influenza","States","Maryland","2018","Race and Ethnicity","White, Non-Hispanic","66.7","61.1 to 72.0","449"
"Influenza","States","Maryland","2018","Race and Ethnicity","Black, Non-Hispanic","51.5","43.5 to 59.5","261"
"Influenza","States","Maryland","2018","Race and Ethnicity","Hispanic","71.9","63.3 to 79.5","189"
"Influenza","States","Maryland","2018","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","79.3","68.0 to 88.0","104"
"Influenza","States","Maryland","2016","Age",">=18 Years","59.5","56.2 to 62.8","1131"
"Influenza","States","Maryland","2016","Age","18-24 Years","53.3","45.1 to 61.3","184"
"Influenza","States","Maryland","2016","Age","25-34 Years","59.9","55.6 to 64.1","676"
"Influenza","States","Maryland","2016","Age",">=35 Years","64.1","56.9 to 70.8","271"
"Influenza","States","Maryland","2016","Race and Ethnicity","White, Non-Hispanic","64.7","59.7 to 69.4","507"
"Influenza","States","Maryland","2016","Race and Ethnicity","Black, Non-Hispanic","49.3","42.8 to 55.8","315"
"Influenza","States","Maryland","2016","Race and Ethnicity","Hispanic","64.3","56.4 to 71.7","194"
"Influenza","States","Maryland","2016","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","55.1","43.5 to 66.3","113"
"Influenza","States","Maryland","2015","Age",">=18 Years","59.5","56.2 to 62.7","1212"
"Influenza","States","Maryland","2015","Age","18-24 Years","52.3","44.5 to 60.1","218"
"Influenza","States","Maryland","2015","Age","25-34 Years","60.8","56.5 to 65.0","696"
"Influenza","States","Maryland","2015","Age",">=35 Years","62.8","56.1 to 69.2","298"
"Influenza","States","Maryland","2015","Race and Ethnicity","White, Non-Hispanic","65.5","60.6 to 70.2","522"
"Influenza","States","Maryland","2015","Race and Ethnicity","Black, Non-Hispanic","49.5","43.2 to 55.8","352"
"Influenza","States","Maryland","2015","Race and Ethnicity","Hispanic","58.6","50.8 to 66.1","216"
"Influenza","States","Maryland","2015","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","63.0","52.0 to 73.1","117"
"Influenza","States","Wyoming","2022","Race and Ethnicity","White, Non-Hispanic","54.1","47.2 to 60.9","294"
"Influenza","States","Wyoming","2022","Race and Ethnicity","Black, Non-Hispanic","NR*","NR*",
"Influenza","States","Wyoming","2022","Race and Ethnicity","Hispanic","NR*","NR*","58"
"Influenza","States","Wyoming","2022","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","67.0","53.7 to 78.6","74"
"Influenza","States","Wyoming","2022","Age",">=35 Years","NR*","NR*","65"
"Influenza","States","Wyoming","2022","Age","18-24 Years","41.6","29.7 to 54.2","113"
"Influenza","States","Wyoming","2022","Age","25-34 Years","52.8","45.1 to 60.4","255"
"Influenza","States","Wyoming","2022","Age",">=18 Years","52.3","46.3 to 58.2","433"
"Influenza","States","Wyoming","2019","Age",">=18 Years","65.6","60.1 to 70.8","475"
"Influenza","States","Wyoming","2019","Age","18-24 Years","60.3","49.7 to 70.3","142"
"Influenza","States","Wyoming","2019","Age","25-34 Years","66.5","58.8 to 73.6","255"
"Influenza","States","Wyoming","2019","Age",">=35 Years","72.8","59.3 to 83.8","78"
"Influenza","States","Wyoming","2019","Race and Ethnicity","White, Non-Hispanic","63.9","57.6 to 69.9","345"
"Influenza","States","Wyoming","2019","Race and Ethnicity","Black, Non-Hispanic","NR*","NR*",
"Influenza","States","Wyoming","2019","Race and Ethnicity","Hispanic","77.6","62.2 to 88.9","59"
"Influenza","States","Wyoming","2019","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","NR*","NR*","62"
"Influenza","States","Wyoming","2016","Age",">=18 Years","53.0","48.1 to 57.8","599"
"Influenza","States","Wyoming","2016","Age","18-24 Years","44.4","35.2 to 53.9","173"
"Influenza","States","Wyoming","2016","Age","25-34 Years","56.1","49.7 to 62.3","342"
"Influenza","States","Wyoming","2016","Age",">=35 Years","57.8","44.5 to 70.4","84"
"Influenza","States","Wyoming","2016","Race and Ethnicity","White, Non-Hispanic","52.3","46.8 to 57.8","430"
"Influenza","States","Wyoming","2016","Race and Ethnicity","Black, Non-Hispanic","NR*","NR*",
"Influenza","States","Wyoming","2016","Race and Ethnicity","Hispanic","54.5","39.8 to 68.6","74"
"Influenza","States","Wyoming","2016","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","NR*","NR*","89"
"Influenza","States","Wyoming","2015","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","71.0","54.6 to 84.2","90"
"Influenza","States","Wyoming","2018","Age",">=18 Years","52.9","47.6 to 58.1","536"
"Influenza","States","Wyoming","2018","Age","18-24 Years","48.3","38.1 to 58.6","156"
"Influenza","States","Wyoming","2018","Age","25-34 Years","54.8","48.0 to 61.4","314"
"Influenza","States","Wyoming","2018","Age",">=35 Years","NR*","NR*","66"
"Influenza","States","Wyoming","2018","Race and Ethnicity","White, Non-Hispanic","52.1","46.1 to 58.1","367"
"Influenza","States","Wyoming","2018","Race and Ethnicity","Black, Non-Hispanic","NR*","NR*",
"Influenza","States","Wyoming","2018","Race and Ethnicity","Hispanic","NR*","NR*","67"
"Influenza","States","Wyoming","2018","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","68.7","53.4 to 81.5","93"
"Influenza","States","Wyoming","2017","Age",">=18 Years","50.9","45.6 to 56.2","487"
"Influenza","States","Wyoming","2017","Age","18-24 Years","41.1","30.3 to 52.5","118"
"Influenza","States","Wyoming","2017","Age","25-34 Years","53.8","47.1 to 60.4","300"
"Influenza","States","Wyoming","2017","Age",">=35 Years","56.4","42.2 to 69.8","69"
"Influenza","States","Wyoming","2017","Race and Ethnicity","White, Non-Hispanic","50.4","44.6 to 56.2","372"
"Influenza","States","Wyoming","2017","Race and Ethnicity","Black, Non-Hispanic","NR*","NR*",
"Influenza","States","Wyoming","2017","Race and Ethnicity","Hispanic","NR*","NR*","42"
"Influenza","States","Wyoming","2017","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","67.8","52.8 to 80.5","72"
"Influenza","States","Wyoming","2020","Race and Ethnicity","Black, Non-Hispanic","NR*","NR*",
"Influenza","States","Wyoming","2020","Age",">=18 Years","63.3","57.4 to 68.9","450"
"Influenza","States","Wyoming","2012","Age","18-24 Years","32.0","23.8 to 41.1","191"
"Influenza","States","Wyoming","2012","Age",">=18 Years","39.1","34.3 to 44.1","618"
"Influenza","States","Wyoming","2020","Age","25-34 Years","64.0","56.2 to 71.3","245"
"Influenza","States","Wyoming","2020","Age","18-24 Years","61.7","49.8 to 72.7","124"
"Influenza","States","Wyoming","2012","Age",">=35 Years","NR*","NR*","48"
"Influenza","States","Wyoming","2012","Age","25-34 Years","42.6","36.4 to 49.0","379"
"Influenza","States","Wyoming","2020","Age",">=35 Years","NR*","NR*","81"
"Influenza","States","Wyoming","2020","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","NR*","NR*","78"
"Influenza","States","Wyoming","2020","Race and Ethnicity","Hispanic","NR*","NR*","51"
"Influenza","States","Wyoming","2012","Race and Ethnicity","Black, Non-Hispanic","NR*","NR*",
"Influenza","States","Wyoming","2012","Race and Ethnicity","White, Non-Hispanic","38.7","33.3 to 44.3","475"
"Influenza","States","Wyoming","2012","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","NR*","NR*","75"
"Influenza","States","Wyoming","2020","Race and Ethnicity","White, Non-Hispanic","63.7","57.0 to 70.1","315"
"Influenza","States","Wyoming","2012","Race and Ethnicity","Hispanic","NR*","NR*","59"
"Influenza","States","West Virginia","2020","Age",">=18 Years","64.7","59.7 to 69.5","576"
"Influenza","States","West Virginia","2012","Age",">=18 Years","43.4","39.5 to 47.3","1092"
"Influenza","States","West Virginia","2020","Age","25-34 Years","66.1","59.4 to 72.3","333"
"Influenza","States","West Virginia","2020","Age","18-24 Years","59.1","49.7 to 68.1","166"
"Influenza","States","West Virginia","2012","Age",">=35 Years","49.0","34.6 to 63.5","93"
"Influenza","States","West Virginia","2012","Age","25-34 Years","45.4","40.0 to 50.9","542"
"Influenza","States","West Virginia","2020","Age",">=35 Years","72.1","57.9 to 83.6","77"
"Influenza","States","West Virginia","2012","Race and Ethnicity","Black, Non-Hispanic","NR*","NR*","43"
"Influenza","States","West Virginia","2020","Race and Ethnicity","Black, Non-Hispanic","NR*","NR*",
"Influenza","States","West Virginia","2012","Age","18-24 Years","39.7","33.7 to 45.9","457"
"Influenza","States","West Virginia","2020","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","NR*","NR*",
"Influenza","States","West Virginia","2020","Race and Ethnicity","Hispanic","NR*","NR*",
"Influenza","States","West Virginia","2012","Race and Ethnicity","White, Non-Hispanic","43.8","39.8 to 47.8","1028"
"Influenza","States","West Virginia","2012","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","NR*","NR*",
"Influenza","States","West Virginia","2020","Race and Ethnicity","White, Non-Hispanic","64.6","59.3 to 69.6","514"
"Influenza","States","West Virginia","2012","Race and Ethnicity","Hispanic","NR*","NR*",
"Influenza","States","Maine","2015","Age",">=18 Years","59.4","55.3 to 63.4","823"
"Influenza","States","Maine","2015","Age","18-24 Years","49.7","40.3 to 59.1","170"
"Influenza","States","Maine","2015","Age","25-34 Years","60.5","55.4 to 65.5","525"
"Influenza","States","Maine","2015","Age",">=35 Years","70.0","59.1 to 79.5","128"
"Influenza","States","Maine","2015","Race and Ethnicity","White, Non-Hispanic","59.2","54.9 to 63.4","759"
"Influenza","States","Maine","2015","Race and Ethnicity","Black, Non-Hispanic","NR*","NR*",
"Influenza","States","Maine","2015","Race and Ethnicity","Hispanic","NR*","NR*",
"Influenza","States","Maine","2015","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","NR*","NR*",
"Influenza","States","Maine","2016","Age",">=18 Years","62.3","57.9 to 66.6","794"
"Influenza","States","Maine","2016","Age","18-24 Years","53.6","42.1 to 64.8","138"
"Influenza","States","Maine","2016","Age","25-34 Years","62.8","57.3 to 68.1","504"
"Influenza","States","Maine","2016","Age",">=35 Years","71.0","61.8 to 79.1","152"
"Influenza","States","Maine","2016","Race and Ethnicity","White, Non-Hispanic","63.0","58.5 to 67.4","746"
"Influenza","States","Maine","2016","Race and Ethnicity","Black, Non-Hispanic","NR*","NR*",
"Influenza","States","Maine","2016","Race and Ethnicity","Hispanic","NR*","NR*",
"Influenza","States","Maine","2016","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","NR*","NR*","31"
"Influenza","States","Maine","2018","Age",">=18 Years","64.0","59.9 to 68.0","801"
"Influenza","States","Maine","2018","Age","18-24 Years","55.0","44.8 to 64.9","146"
"Influenza","States","Maine","2018","Age","25-34 Years","65.0","59.8 to 69.9","511"
"Influenza","States","Maine","2018","Age",">=35 Years","70.4","60.5 to 79.1","144"
"Influenza","States","Maine","2018","Race and Ethnicity","White, Non-Hispanic","63.9","59.6 to 68.0","744"
"Influenza","States","Maine","2018","Race and Ethnicity","Black, Non-Hispanic","NR*","NR*",
"Influenza","States","Maine","2018","Race and Ethnicity","Hispanic","NR*","NR*",
"Influenza","States","Maine","2018","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","NR*","NR*",
"Influenza","States","Maine","2017","Age",">=18 Years","64.0","60.1 to 67.7","859"
"Influenza","States","Maine","2017","Age","18-24 Years","61.8","53.1 to 70.0","177"
"Influenza","States","Maine","2017","Age","25-34 Years","63.6","58.6 to 68.4","524"
"Influenza","States","Maine","2017","Age",">=35 Years","68.7","59.1 to 77.3","158"
"Influenza","States","Maine","2017","Race and Ethnicity","White, Non-Hispanic","64.4","60.3 to 68.3","782"
"Influenza","States","Maine","2017","Race and Ethnicity","Black, Non-Hispanic","NR*","NR*",
"Influenza","States","Maine","2017","Race and Ethnicity","Hispanic","NR*","NR*",
"Influenza","States","Maine","2017","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","NR*","NR*","33"
"Influenza","States","Maine","2019","Age",">=18 Years","69.9","66.0 to 73.6","810"
"Influenza","States","Maine","2019","Age","18-24 Years","61.9","51.0 to 71.9","137"
"Influenza","States","Maine","2019","Age","25-34 Years","72.0","67.1 to 76.5","503"
"Influenza","States","Maine","2019","Age",">=35 Years","70.4","61.5 to 78.3","170"
"Influenza","States","Maine","2019","Race and Ethnicity","White, Non-Hispanic","70.7","66.6 to 74.6","736"
"Influenza","States","Maine","2019","Race and Ethnicity","Black, Non-Hispanic","NR*","NR*",
"Influenza","States","Maine","2019","Race and Ethnicity","Hispanic","NR*","NR*",
"Influenza","States","Maine","2019","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","NR*","NR*","44"
"Influenza","States","Maine","2021","Race and Ethnicity","White, Non-Hispanic","63.2","58.7 to 67.6","694"
"Influenza","States","Maine","2021","Race and Ethnicity","Black, Non-Hispanic","NR*","NR*",
"Influenza","States","Maine","2021","Race and Ethnicity","Hispanic","NR*","NR*",
"Influenza","States","Maine","2021","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","NR*","NR*",
"Influenza","States","Maine","2021","Age",">=18 Years","62.4","58.1 to 66.6","776"
"Influenza","States","Maine","2021","Age","18-24 Years","54.2","42.2 to 65.9","110"
"Influenza","States","Maine","2021","Age","25-34 Years","61.9","56.5 to 67.1","501"
"Influenza","States","Maine","2021","Age",">=35 Years","70.7","61.4 to 78.9","165"
"Influenza","States","Maine","2013","Age",">=18 Years","66.4","62.7 to 69.9","920"
"Influenza","States","Maine","2013","Age","18-24 Years","65.0","57.7 to 71.9","242"
"Influenza","States","Maine","2013","Age","25-34 Years","65.4","60.5 to 70.1","541"
"Influenza","States","Maine","2013","Age",">=35 Years","72.9","63.2 to 81.2","137"
"Influenza","States","Maine","2014","Age",">=18 Years","60.6","56.7 to 64.4","882"
"Influenza","States","Maine","2014","Age","18-24 Years","58.5","50.5 to 66.2","236"
"Influenza","States","Maine","2014","Age","25-34 Years","62.5","57.3 to 67.5","502"
"Influenza","States","Maine","2014","Age",">=35 Years","57.4","47.3 to 67.0","144"
"Influenza","States","Maine","2014","Race and Ethnicity","White, Non-Hispanic","61.0","56.9 to 65.0","813"
"Influenza","States","Maine","2014","Race and Ethnicity","Black, Non-Hispanic","NR*","NR*",
"Influenza","States","Maine","2014","Race and Ethnicity","Hispanic","NR*","NR*",
"Influenza","States","Maine","2014","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","NR*","NR*","31"
"Influenza","States","Maine","2013","Race and Ethnicity","White, Non-Hispanic","65.6","61.8 to 69.3","867"
"Influenza","States","Maine","2013","Race and Ethnicity","Black, Non-Hispanic","NR*","NR*",
"Influenza","States","Maine","2013","Race and Ethnicity","Hispanic","NR*","NR*",
"Influenza","States","Maine","2013","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","NR*","NR*",
"Influenza","States","Maine","2022","Race and Ethnicity","White, Non-Hispanic","62.0","57.1 to 66.7","603"
"Influenza","States","Maine","2022","Race and Ethnicity","Black, Non-Hispanic","NR*","NR*","32"
"Influenza","States","Maine","2022","Race and Ethnicity","Hispanic","NR*","NR*",
"Influenza","States","Maine","2022","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","NR*","NR*",
"Influenza","States","Maine","2022","Age",">=18 Years","62.0","57.3 to 66.5","675"
"Influenza","States","Maine","2022","Age",">=35 Years","69.5","60.5 to 77.5","187"
"Influenza","States","Maine","2022","Age","18-24 Years","40.7","27.5 to 54.9","85"
"Influenza","States","Maine","2022","Age","25-34 Years","64.1","58.1 to 69.8","403"
"Influenza","States","Alabama","2022","Race and Ethnicity","White, Non-Hispanic","42.9","38.2 to 47.7","430"
"Influenza","States","Alabama","2022","Race and Ethnicity","Black, Non-Hispanic","35.5","28.3 to 43.3","173"
"Influenza","States","Alabama","2022","Race and Ethnicity","Hispanic","48.5","38.6 to 58.5","106"
"Influenza","States","Alabama","2022","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","NR*","NR*",
"Influenza","States","Alabama","2022","Age",">=35 Years","45.2","35.9 to 54.7","116"
"Influenza","States","Alabama","2022","Age",">=18 Years","41.4","37.8 to 45.1","730"
"Influenza","States","Alabama","2022","Age","18-24 Years","38.0","31.0 to 45.4","194"
"Influenza","States","Alabama","2022","Age","25-34 Years","42.2","37.4 to 47.1","420"
"Influenza","States","Alabama","2020","Race and Ethnicity","Black, Non-Hispanic","42.9","35.1 to 50.9","164"
"Influenza","States","Alabama","2020","Age",">=18 Years","49.6","45.6 to 53.6","619"
"Influenza","States","Alabama","2020","Age","18-24 Years","40.5","32.5 to 48.9","149"
"Influenza","States","Alabama","2020","Age","25-34 Years","53.4","48.2 to 58.6","372"
"Influenza","States","Alabama","2020","Age",">=35 Years","51.8","41.5 to 62.0","98"
"Influenza","States","Alabama","2020","Race and Ethnicity","Hispanic","46.9","34.4 to 59.7","65"
"Influenza","States","Alabama","2020","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","NR*","NR*",
"Influenza","States","Alabama","2020","Race and Ethnicity","White, Non-Hispanic","53.2","48.0 to 58.4","371"
"Influenza","States","Tennessee","2015","Age",">=18 Years","52.0","47.6 to 56.4","958"
"Influenza","States","Tennessee","2013","Race and Ethnicity","Black, Non-Hispanic","40.0","30.0 to 50.7","181"
"Influenza","States","Tennessee","2013","Race and Ethnicity","Hispanic","NR*","NR*","49"
"Influenza","States","Tennessee","2013","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","NR*","NR*",
"Influenza","States","Tennessee","2013","Race and Ethnicity","White, Non-Hispanic","56.0","50.2 to 61.7","472"
"Influenza","States","Tennessee","2021","Age",">=18 Years","52.6","47.8 to 57.4","600"
"Influenza","States","Tennessee","2021","Age","18-24 Years","38.0","28.7 to 48.0","163"
"Influenza","States","Tennessee","2021","Age","25-34 Years","57.8","51.6 to 63.8","340"
"Influenza","States","Tennessee","2021","Age",">=35 Years","57.3","44.9 to 69.1","97"
"Influenza","States","Tennessee","2013","Age",">=18 Years","52.4","47.6 to 57.2","723"
"Influenza","States","Tennessee","2013","Age","18-24 Years","43.8","35.3 to 52.6","248"
"Influenza","States","Tennessee","2013","Age","25-34 Years","55.8","49.4 to 62.1","390"
"Influenza","States","Tennessee","2013","Age",">=35 Years","60.7","46.5 to 73.7","85"
"Influenza","States","Tennessee","2015","Age","18-24 Years","38.2","30.7 to 46.1","299"
"Influenza","States","Tennessee","2015","Age","25-34 Years","55.5","49.5 to 61.4","529"
"Influenza","States","Tennessee","2015","Age",">=35 Years","75.5","63.8 to 85.0","130"
"Influenza","States","Tennessee","2015","Race and Ethnicity","White, Non-Hispanic","55.7","50.3 to 61.0","633"
"Influenza","States","Tennessee","2015","Race and Ethnicity","Black, Non-Hispanic","36.6","27.0 to 47.1","202"
"Influenza","States","Tennessee","2015","Race and Ethnicity","Hispanic","NR*","NR*","81"
"Influenza","States","Tennessee","2015","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","NR*","NR*","40"
"Influenza","States","Tennessee","2014","Age",">=18 Years","49.6","44.8 to 54.4","724"
"Influenza","States","Tennessee","2014","Age","18-24 Years","44.4","35.7 to 53.3","231"
"Influenza","States","Tennessee","2014","Age","25-34 Years","50.0","43.5 to 56.5","398"
"Influenza","States","Tennessee","2014","Age",">=35 Years","62.6","48.4 to 75.3","95"
"Influenza","States","Tennessee","2014","Race and Ethnicity","White, Non-Hispanic","51.0","45.2 to 56.8","496"
"Influenza","States","Tennessee","2014","Race and Ethnicity","Black, Non-Hispanic","34.0","23.5 to 45.8","143"
"Influenza","States","Tennessee","2014","Race and Ethnicity","Hispanic","NR*","NR*","50"
"Influenza","States","Tennessee","2014","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","NR*","NR*","34"
"Influenza","States","Tennessee","2019","Age",">=18 Years","56.4","50.7 to 62.0","632"
"Influenza","States","Tennessee","2019","Age","18-24 Years","50.0","38.4 to 61.6","169"
"Influenza","States","Tennessee","2019","Age","25-34 Years","58.3","50.8 to 65.6","352"
"Influenza","States","Tennessee","2019","Age",">=35 Years","61.6","48.2 to 73.8","111"
"Influenza","States","Tennessee","2019","Race and Ethnicity","White, Non-Hispanic","63.7","56.6 to 70.4","373"
"Influenza","States","Tennessee","2019","Race and Ethnicity","Black, Non-Hispanic","37.6","26.0 to 50.3","156"
"Influenza","States","Tennessee","2019","Race and Ethnicity","Hispanic","NR*","NR*","76"
"Influenza","States","Tennessee","2019","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","NR*","NR*",
"Influenza","States","Tennessee","2021","Race and Ethnicity","White, Non-Hispanic","57.7","51.8 to 63.5","382"
"Influenza","States","Tennessee","2021","Race and Ethnicity","Black, Non-Hispanic","34.2","24.1 to 45.5","119"
"Influenza","States","Tennessee","2021","Race and Ethnicity","Hispanic","48.9","34.0 to 63.9","67"
"Influenza","States","Tennessee","2021","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","NR*","NR*","32"
"Influenza","States","Tennessee","2020","Age",">=18 Years","54.9","49.3 to 60.4","598"
"Influenza","States","Tennessee","2012","Age","18-24 Years","38.9","31.3 to 47.0","246"
"Influenza","States","Tennessee","2020","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","NR*","NR*",
"Influenza","States","Tennessee","2020","Race and Ethnicity","Hispanic","NR*","NR*","78"
"Influenza","States","Tennessee","2020","Race and Ethnicity","Black, Non-Hispanic","35.6","24.2 to 48.3","138"
"Influenza","States","Tennessee","2012","Race and Ethnicity","Black, Non-Hispanic","29.2","20.3 to 39.4","152"
"Influenza","States","Tennessee","2020","Age","25-34 Years","58.2","50.6 to 65.5","332"
"Influenza","States","Tennessee","2020","Age","18-24 Years","38.3","27.8 to 49.7","147"
"Influenza","States","Tennessee","2020","Age",">=35 Years","66.9","54.2 to 78.0","119"
"Influenza","States","Tennessee","2012","Age",">=35 Years","54.3","40.6 to 67.5","99"
"Influenza","States","Tennessee","2012","Age","25-34 Years","45.2","39.5 to 51.0","447"
